,time_period,rainfall,mean_temperature,population,location,E,month,ID_year,ID_spat,rainsum,meantemperature
4,2016-12,201.776,19.32,2342389.66964286,HaiPhong,2342389.66964286,12,2016,HaiPhong,201.776,19.32
5,2017-01,162.635,18.98,2368981.83482143,HaiPhong,2368981.83482143,1,2017,HaiPhong,162.635,18.98
0,2016-08,208.594,26.88,1697892.97321429,HauGiang,1697892.97321429,8,2016,HauGiang,208.594,26.88
1,2016-09,308.482,25.42,1697892.97321429,HauGiang,1697892.97321429,9,2016,HauGiang,308.482,25.42
2,2016-10,274.555,24.22,1697892.97321429,HauGiang,1697892.97321429,10,2016,HauGiang,274.555,24.22
3,2016-11,442.273,22.47,1697892.97321429,HauGiang,1697892.97321429,11,2016,HauGiang,442.273,22.47
4,2016-12,753.662,20.22,1697892.97321429,HauGiang,1697892.97321429,12,2016,HauGiang,753.662,20.22
5,2017-01,199.021,20.17,1711323.98660714,HauGiang,1711323.98660714,1,2017,HauGiang,199.021,20.17
0,2016-08,426.039,26.9,7886414.57142857,HoChiMinh,7886414.57142857,8,2016,HoChiMinh,426.039,26.9
1,2016-09,281.624,25.69,7886414.57142857,HoChiMinh,7886414.57142857,9,2016,HoChiMinh,281.624,25.69
2,2016-10,197.603,24.28,7886414.57142857,HoChiMinh,7886414.57142857,10,2016,HoChiMinh,197.603,24.28
3,2016-11,85.336,20.23,7886414.57142857,HoChiMinh,7886414.57142857,11,2016,HoChiMinh,85.336,20.23
4,2016-12,24.914,17.98,7886414.57142857,HoChiMinh,7886414.57142857,12,2016,HoChiMinh,24.914,17.98
5,2017-01,82.385,17.52,7980439.78571429,HoChiMinh,7980439.78571429,1,2017,HoChiMinh,82.385,17.52
0,2016-08,200.79,27.28,520856.887834821,KhanhHoa,520856.887834821,8,2016,KhanhHoa,200.79,27.28
1,2016-09,330.338,26.75,520856.887834821,KhanhHoa,520856.887834821,9,2016,KhanhHoa,330.338,26.75
2,2016-10,474.336,25.94,520856.887834821,KhanhHoa,520856.887834821,10,2016,KhanhHoa,474.336,25.94
3,2016-11,238.158,26.51,520856.887834821,KhanhHoa,520856.887834821,11,2016,KhanhHoa,238.158,26.51
4,2016-12,177.852,25.6,520856.887834821,KhanhHoa,520856.887834821,12,2016,KhanhHoa,177.852,25.6
5,2017-01,116.791,25.9,525125.443917411,KhanhHoa,525125.443917411,1,2017,KhanhHoa,116.791,25.9
0,2016-08,278.453,27.92,1422824.89508929,KienGiang,1422824.89508929,8,2016,KienGiang,278.453,27.92
1,2016-09,401.785,26.61,1422824.89508929,KienGiang,1422824.89508929,9,2016,KienGiang,401.785,26.61
2,2016-10,337.793,25.31,1422824.89508929,KienGiang,1422824.89508929,10,2016,KienGiang,337.793,25.31
3,2016-11,581.295,23.63,1422824.89508929,KienGiang,1422824.89508929,11,2016,KienGiang,581.295,23.63
4,2016-12,860.012,21.45,1422824.89508929,KienGiang,1422824.89508929,12,2016,KienGiang,860.012,21.45
5,2017-01,292.413,21.21,1436137.44754464,KienGiang,1436137.44754464,1,2017,KienGiang,292.413,21.21
0,2016-08,138.535,25.07,928093.404017857,LamDong,928093.404017857,8,2016,LamDong,138.535,25.07
1,2016-09,369.666,24.56,928093.404017857,LamDong,928093.404017857,9,2016,LamDong,369.666,24.56
2,2016-10,313.62,23.76,928093.404017857,LamDong,928093.404017857,10,2016,LamDong,313.62,23.76
3,2016-11,112.977,23.55,928093.404017857,LamDong,928093.404017857,11,2016,LamDong,112.977,23.55
4,2016-12,181.609,21.99,928093.404017857,LamDong,928093.404017857,12,2016,LamDong,181.609,21.99
5,2017-01,103.033,21.67,936333.702008929,LamDong,936333.702008929,1,2017,LamDong,103.033,21.67
0,2016-08,406.949,23.82,3939654.51674107,NgheAn,3939654.51674107,8,2016,NgheAn,406.949,23.82
1,2016-09,214.523,22.98,3939654.51674107,NgheAn,3939654.51674107,9,2016,NgheAn,214.523,22.98
2,2016-10,77.753,22.47,3939654.51674107,NgheAn,3939654.51674107,10,2016,NgheAn,77.753,22.47
3,2016-11,108.119,18.56,3939654.51674107,NgheAn,3939654.51674107,11,2016,NgheAn,108.119,18.56
4,2016-12,6.48,16.61,3939654.51674107,NgheAn,3939654.51674107,12,2016,NgheAn,6.48,16.61
5,2017-01,94.223,15.79,3972210.75837054,NgheAn,3972210.75837054,1,2017,NgheAn,94.223,15.79
0,2016-08,198.243,24.7,599091.178571429,PhuYen,599091.178571429,8,2016,PhuYen,198.243,24.7
1,2016-09,341.939,24.34,599091.178571429,PhuYen,599091.178571429,9,2016,PhuYen,341.939,24.34
2,2016-10,300.507,23.7,599091.178571429,PhuYen,599091.178571429,10,2016,PhuYen,300.507,23.7
3,2016-11,108.077,23.33,599091.178571429,PhuYen,599091.178571429,11,2016,PhuYen,108.077,23.33
4,2016-12,213.869,21.71,599091.178571429,PhuYen,599091.178571429,12,2016,PhuYen,213.869,21.71
5,2017-01,77.055,21.43,604218.589285714,PhuYen,604218.589285714,1,2017,PhuYen,77.055,21.43
0,2016-08,444.908,28.37,904387.477120536,QuangBinh,904387.477120536,8,2016,QuangBinh,444.908,28.37
1,2016-09,168.203,27.5,904387.477120536,QuangBinh,904387.477120536,9,2016,QuangBinh,168.203,27.5
2,2016-10,133.727,26.01,904387.477120536,QuangBinh,904387.477120536,10,2016,QuangBinh,133.727,26.01
3,2016-11,60.842,21.07,904387.477120536,QuangBinh,904387.477120536,11,2016,QuangBinh,60.842,21.07
4,2016-12,30.726,18.93,904387.477120536,QuangBinh,904387.477120536,12,2016,QuangBinh,30.726,18.93
5,2017-01,127.719,18.13,911684.738560268,QuangBinh,911684.738560268,1,2017,QuangBinh,127.719,18.13
0,2016-08,493.434,28.39,1635290.48423549,QuangNam,1635290.48423549,8,2016,QuangNam,493.434,28.39
1,2016-09,282.702,27.61,1635290.48423549,QuangNam,1635290.48423549,9,2016,QuangNam,282.702,27.61
2,2016-10,123.09,26.14,1635290.48423549,QuangNam,1635290.48423549,10,2016,QuangNam,123.09,26.14
3,2016-11,38.272,21.33,1635290.48423549,QuangNam,1635290.48423549,11,2016,QuangNam,38.272,21.33
4,2016-12,12.806,19.51,1635290.48423549,QuangNam,1635290.48423549,12,2016,QuangNam,12.806,19.51
5,2017-01,22.59,18.97,1642168.24211775,QuangNam,1642168.24211775,1,2017,QuangNam,22.59,18.97
0,2016-08,202.913,27.03,3421853.19363839,ThanhHoa,3421853.19363839,8,2016,ThanhHoa,202.913,27.03
1,2016-09,231.864,26.56,3421853.19363839,ThanhHoa,3421853.19363839,9,2016,ThanhHoa,231.864,26.56
2,2016-10,461.438,25.87,3421853.19363839,ThanhHoa,3421853.19363839,10,2016,ThanhHoa,461.438,25.87
3,2016-11,252.415,26.38,3421853.19363839,ThanhHoa,3421853.19363839,11,2016,ThanhHoa,252.415,26.38
4,2016-12,198.27,25.47,3421853.19363839,ThanhHoa,3421853.19363839,12,2016,ThanhHoa,198.27,25.47
5,2017-01,104.295,25.64,3454984.5968192,ThanhHoa,3454984.5968192,1,2017,ThanhHoa,104.295,25.64
0,2016-08,259.543,27.22,1036908.96875,TienGiang,1036908.96875,8,2016,TienGiang,259.543,27.22
1,2016-09,354.647,26.66,1036908.96875,TienGiang,1036908.96875,9,2016,TienGiang,354.647,26.66
2,2016-10,428.324,26.02,1036908.96875,TienGiang,1036908.96875,10,2016,TienGiang,428.324,26.02
3,2016-11,168.292,26.57,1036908.96875,TienGiang,1036908.96875,11,2016,TienGiang,168.292,26.57
4,2016-12,187.675,25.64,1036908.96875,TienGiang,1036908.96875,12,2016,TienGiang,187.675,25.64
5,2017-01,120.393,26.1,1039466.984375,TienGiang,1039466.984375,1,2017,TienGiang,120.393,26.1
